郭泽雄	暨南大学附属第一医院（广州华侨医院）	泌尿外科
刘德豪	暨南大学附属第一医院（广州华侨医院）	泌尿外科
苏泽轩	暨南大学附属第一医院（广州华侨医院）	泌尿外科
牛洪欣	山东省医学科学院附属医院	微创外科
张西坤	山东省医学科学院附属医院	微创外科
王斌	山东省医学科学院附属医院	微创外科
周钊	山东省医学科学院附属医院	微创外科
汪建	山东省医学科学院附属医院	微创外科
徐忠法	山东省医学科学院附属医院	微创外科
许刚	南京医科大学附属淮安市第一人民医院	肝胆外科
祁付珍	南京医科大学附属淮安市第一人民医院	肝胆外科
张建淮	南京医科大学附属淮安市第一人民医院	肝胆外科
徐建波	南京医科大学附属淮安市第一人民医院	肝胆外科
时汀	南京医科大学附属淮安市第一人民医院	肝胆外科
苗毅	南京医科大学第一附属医院	普外科
范佳颖	广州医科大学妇女儿童医疗中心	妇科
杨艳	广州医科大学妇女儿童医疗中心	妇科
谢静颖	广州医科大学妇女儿童医疗中心	妇科
卢燕玲	广州医科大学妇女儿童医疗中心	妇科
石琨	广州医科大学妇女儿童医疗中心	妇科
黄燕清	广州医科大学妇女儿童医疗中心	妇科
潘俊	广东省神经外科研究所，广东省脑功能修复与再生重点实验室，南方医科大学珠江医院	神经外科
卢凤飞	广东省神经外科研究所，广东省脑功能修复与再生重点实验室，南方医科大学珠江医院	神经外科
徐红超	广东省神经外科研究所，广东省脑功能修复与再生重点实验室，南方医科大学珠江医院	神经外科
王其福	广东省神经外科研究所，广东省脑功能修复与再生重点实验室，南方医科大学珠江医院	神经外科
林春南	广东省神经外科研究所，广东省脑功能修复与再生重点实验室，南方医科大学珠江医院	神经外科
张世忠	广东省神经外科研究所，广东省脑功能修复与再生重点实验室，南方医科大学珠江医院	神经外科
李军	陕西省肿瘤医院	肿瘤研究中心
王一羽	陕西省肿瘤医院	肿瘤研究中心
尹乐	陕西省肿瘤医院	肿瘤研究中心
柳瑛	陕西省肿瘤医院	肿瘤研究中心
原荣	陕西省肿瘤医院	肿瘤研究中心
南星	陕西省肿瘤医院	肿瘤研究中心
宋张骏	陕西省肿瘤医院	胸外科
李昱骥	中国医科大学第一附属医院	肠胃外科
董明	中国医科大学第一附属医院	肠胃外科
孔凡民	中国医科大学第一附属医院	肠胃外科
周建平	中国医科大学第一附属医院	肠胃外科
李少一	中国医科大学盛京医院	神经外科
马维宁	中国医科大学盛京医院	神经外科
Cheng Tianci	中国医科大学盛京医院	神经外科
刘云会	中国医科大学盛京医院	神经外科
高芸	辽宁何氏医学院	分子病理学中心
石彦	重庆第三军医大学西南医院	普外科、微创肠胃外科中心
谭永嘉	重庆第三军医大学西南医院	普外科、微创肠胃外科中心
曾冬竹	重庆第三军医大学西南医院	普外科、微创肠胃外科中心
钱锋	重庆第三军医大学西南医院	普外科、微创肠胃外科中心
余佩武	重庆第三军医大学西南医院	普外科、微创肠胃外科中心
孙继伟	上海交大医学院附属新华医院	结肠直肠外科
丁文俊	上海交大医学院附属新华医院	结肠直肠外科
智佳俊	上海交大医学院附属新华医院	结肠直肠外科
陈卫	上海交大医学院附属新华医院	结肠直肠外科
高峰	河北医科大学第四医院	胸外科
王涛	河北医科大学第四医院	胸外科
张泽峰	河北医科大学第四医院	胸外科
王瑞	河北医科大学第四医院	胸外科
郭杨	河北医科大学第四医院	胸外科
刘俊峰	河北医科大学第四医院	胸外科
彭政	衢州市人民医院	放射肿瘤科
徐天才	衢州市人民医院	放射肿瘤科
廖小方	衢州市人民医院	放射肿瘤科
何慧娟	衢州市人民医院	放射肿瘤科
徐万苏	衢州市人民医院	放射肿瘤科
刘伟	河北石家庄白求恩国际和平医院	普外科
李康	河北石家庄白求恩国际和平医院	普外科
侯会池	河北石家庄白求恩国际和平医院	普外科
安杰	河北石家庄白求恩国际和平医院	病理学中心
张振兴	辽宁医科大学第一附属医院	神经外科
周青青	辽宁医科大学第一附属医院	神经外科
苗野	辽宁医科大学第一附属医院	神经外科
李洋	辽宁医科大学第一附属医院	神经外科
冯旭	辽宁医科大学第一附属医院	神经外科
田鹤	辽宁医科大学	组织胚胎学教研室
宋晓峰	辽宁医科大学	组织胚胎学教研室
王洪磊	辽宁医科大学第一附属医院	神经外科
周旭	复旦大学附属中山医院	耳鼻咽喉科
戚颖	复旦大学附属中山医院	耳鼻咽喉科
徐建强	上海交大医学院附属瑞金医院	骨科
张伟滨	上海交大医学院附属瑞金医院	骨科
万荣	上海交大医学院附属瑞金医院	骨科
